Package,Built
abind,4.2.0
askpass,4.2.1
assertthat,4.2.1
backports,4.2.0
bannerCommenter,4.2.1
base64enc,4.2.0
bit,4.2.1
bit64,4.2.1
blob,4.2.1
brew,4.2.1
brio,4.2.1
broom,4.2.1
bslib,4.2.1
C50,4.2.1
cachem,4.2.1
callr,4.2.1
carData,4.2.1
cellranger,4.2.1
classInt,4.2.1
cli,4.2.1
clipr,4.2.1
colorspace,4.2.1
commonmark,4.2.1
cpp11,4.2.1
crayon,4.2.1
credentials,4.2.1
crosstalk,4.2.1
cubature,4.2.1
Cubist,4.2.1
curl,4.2.1
data.table,4.2.1
DBI,4.2.1
dbplyr,4.2.1
demoKde,4.2.1
DEoptimR,4.2.0
desc,4.2.1
devtools,4.2.1
dichromat,4.2.0
diffobj,4.2.1
digest,4.2.1
doParallel,4.2.1
doRNG,4.2.1
dplyr,4.2.1
dtplyr,4.2.1
e1071,4.2.1
effects,4.2.1
ellipsis,4.2.1
english,4.2.1
estimability,4.2.1
evaluate,4.2.1
fansi,4.2.1
farver,4.2.1
fastGHQuad,4.2.1
fastmap,4.2.1
forcats,4.2.1
foreach,4.2.1
Formula,4.2.0
fractional,4.2.1
frenchCurve,4.2.1
fs,4.2.1
gargle,4.2.1
gbm,4.2.1
generics,4.2.1
geojsonsf,4.2.1
geometries,4.2.1
gert,4.2.1
GGally,4.2.1
ggplot2,4.2.1
ggrepel,4.2.1
ggthemes,4.2.1
gh,4.2.1
gifski,4.2.1
gitcreds,4.2.1
glm2,4.2.0
glmnet,4.2.1
glmnetUtils,4.2.1
glue,4.2.1
googledrive,4.2.1
googlesheets4,4.2.1
gridExtra,4.2.1
gtable,4.2.1
haven,4.2.1
here,4.2.1
highr,4.2.1
hms,4.2.1
htmltools,4.2.1
htmlwidgets,4.2.1
httr,4.2.1
ids,4.2.1
ini,4.2.1
insight,4.2.1
inum,4.2.1
isoband,4.2.1
iterators,4.2.1
JacobiEigen,4.2.1
jquerylib,4.2.1
jsonify,4.2.1
jsonlite,4.2.1
knitr,4.2.1
labeling,4.2.0
lazyData,4.2.1
lazyeval,4.2.1
leafem,4.2.1
leaflet,4.2.1
leaflet.providers,4.2.1
leafsync,4.2.1
libcoin,4.2.1
lifecycle,4.2.1
lme4,4.2.1
lubridate,4.2.1
lwgeom,4.2.1
magrittr,4.2.1
markdown,4.2.1
MASSExtra,4.2.1
mboost,4.2.1
memoise,4.2.1
microbenchmark,4.2.1
mime,4.2.0
minqa,4.2.1
mitools,4.2.1
modelr,4.2.1
munsell,4.2.1
mvtnorm,4.2.0
nloptr,4.2.1
nnls,4.2.0
numDeriv,4.2.0
openssl,4.2.1
palmerpenguins,4.2.1
partykit,4.2.1
patchwork,4.2.1
PBSmapping,4.2.1
pillar,4.2.1
pingr,4.2.1
pkgbuild,4.2.1
pkgconfig,4.2.1
pkgload,4.2.1
plyr,4.2.1
png,4.2.0
PolynomF,4.2.1
praise,4.2.1
prettyunits,4.2.1
processx,4.2.1
progress,4.2.1
proxy,4.2.1
ps,4.2.1
purrr,4.2.1
quadprog,4.2.0
R.cache,4.2.1
R.methodsS3,4.2.0
R.oo,4.2.0
R.utils,4.2.1
R6,4.2.1
randomForest,4.2.1
ranger,4.2.1
rapidjsonr,4.2.0
rappdirs,4.2.1
raster,4.2.1
rbenchmark,4.2.0
rcmdcheck,4.2.1
RColorBrewer,4.2.0
Rcpp,4.2.1
RcppEigen,4.2.1
readr,4.2.1
readxl,4.2.1
rematch,4.2.1
rematch2,4.2.1
remotes,4.2.1
reprex,4.2.1
reshape,4.2.1
reshape2,4.2.1
rgdal,4.2.1
rlang,4.2.1
rmarkdown,4.2.1
rngtools,4.2.1
robustbase,4.2.1
robustlmm,4.2.1
roxygen2,4.2.1
rprojroot,4.2.1
rstudioapi,4.2.1
rversions,4.2.1
rvest,4.2.1
s2,4.2.1
sass,4.2.1
scales,4.2.1
searchpath,4.2.1
selectr,4.2.1
sessioninfo,4.2.1
sf,4.2.0
sfheaders,4.2.1
shape,4.2.0
SOAR,4.2.0
sp,4.2.1
stabs,4.2.1
stars,4.2.1
stringi,4.2.1
stringr,4.2.1
styler,4.2.1
sudokuAlt,4.2.1
survey,4.2.1
sys,4.2.1
terra,4.2.1
testthat,4.2.1
tibble,4.2.1
tidyr,4.2.1
tidyselect,4.2.1
tidyverse,4.2.1
tinytex,4.2.1
tmap,4.2.1
tmaptools,4.2.1
tzdb,4.2.1
units,4.2.1
usethis,4.2.1
utf8,4.2.1
uuid,4.2.0
vctrs,4.2.1
vip,4.2.1
viridis,4.2.1
viridisLite,4.2.1
visreg,4.2.1
vroom,4.2.1
waldo,4.2.1
whisker,4.2.1
widgetframe,4.2.1
withr,4.2.1
wk,4.2.1
WWRCourse,4.2.1
WWRData,4.2.1
WWRGraphics,4.2.1
WWRUtilities,4.2.1
xfun,4.2.1
XML,4.2.0
xml2,4.2.1
xopen,4.2.1
xtable,4.2.1
yaml,4.2.0
zip,4.2.1
translations,4.2.1
