Package,LibPath,Version,Priority,Built
abind,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.4-5,NA,4.2.0
askpass,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.1,NA,4.2.1
assertthat,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.2.1,NA,4.2.1
backports,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.4.1,NA,4.2.0
bannerCommenter,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.0.0,NA,4.2.1
base64enc,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.1-3,NA,4.2.0
bit,C:/Users/jk845/AppData/Local/R/win-library/4.2,4.0.4,NA,4.2.1
bit64,C:/Users/jk845/AppData/Local/R/win-library/4.2,4.0.5,NA,4.2.1
blob,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.2.3,NA,4.2.1
brew,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.0-7,NA,4.2.1
brio,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.1.3,NA,4.2.1
broom,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.0.0,NA,4.2.1
bslib,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.3.1,NA,4.2.1
C50,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.1.6,NA,4.2.1
cachem,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.0.6,NA,4.2.1
callr,C:/Users/jk845/AppData/Local/R/win-library/4.2,3.7.0,NA,4.2.1
carData,C:/Users/jk845/AppData/Local/R/win-library/4.2,3.0-5,NA,4.2.1
cellranger,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.1.0,NA,4.2.1
classInt,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.4-7,NA,4.2.1
cli,C:/Users/jk845/AppData/Local/R/win-library/4.2,3.3.0,NA,4.2.1
clipr,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.8.0,NA,4.2.1
colorspace,C:/Users/jk845/AppData/Local/R/win-library/4.2,2.0-3,NA,4.2.1
commonmark,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.8.0,NA,4.2.1
cpp11,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.4.2,NA,4.2.1
crayon,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.5.1,NA,4.2.1
credentials,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.3.2,NA,4.2.1
crosstalk,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.2.0,NA,4.2.1
cubature,C:/Users/jk845/AppData/Local/R/win-library/4.2,2.0.4.4,NA,4.2.1
Cubist,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.4.0,NA,4.2.1
curl,C:/Users/jk845/AppData/Local/R/win-library/4.2,4.3.2,NA,4.2.1
data.table,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.14.2,NA,4.2.1
DBI,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.1.3,NA,4.2.1
dbplyr,C:/Users/jk845/AppData/Local/R/win-library/4.2,2.2.1,NA,4.2.1
demoKde,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.0.0,NA,4.2.1
DEoptimR,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.0-11,NA,4.2.0
desc,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.4.1,NA,4.2.1
devtools,C:/Users/jk845/AppData/Local/R/win-library/4.2,2.4.3,NA,4.2.1
dichromat,C:/Users/jk845/AppData/Local/R/win-library/4.2,2.0-0.1,NA,4.2.0
diffobj,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.3.5,NA,4.2.1
digest,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.6.29,NA,4.2.1
doParallel,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.0.17,NA,4.2.1
doRNG,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.8.2,NA,4.2.1
dplyr,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.0.9,NA,4.2.0
dtplyr,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.2.1,NA,4.2.1
e1071,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.7-11,NA,4.2.1
effects,C:/Users/jk845/AppData/Local/R/win-library/4.2,4.2-1,NA,4.2.1
ellipsis,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.3.2,NA,4.2.1
english,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.2-6,NA,4.2.1
estimability,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.4,NA,4.2.1
evaluate,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.15,NA,4.2.1
fansi,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.0.3,NA,4.2.1
farver,C:/Users/jk845/AppData/Local/R/win-library/4.2,2.1.1,NA,4.2.1
fastGHQuad,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.0.1,NA,4.2.1
fastmap,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.1.0,NA,4.2.1
forcats,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.5.1,NA,4.2.1
foreach,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.5.2,NA,4.2.1
Formula,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.2-4,NA,4.2.0
fractional,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.1.3,NA,4.2.1
frenchCurve,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.2.0,NA,4.2.1
fs,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.5.2,NA,4.2.1
gargle,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.2.0,NA,4.2.1
gbm,C:/Users/jk845/AppData/Local/R/win-library/4.2,2.1.8,NA,4.2.1
generics,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.1.3,NA,4.2.1
geojsonsf,C:/Users/jk845/AppData/Local/R/win-library/4.2,2.0.3,NA,4.2.1
geometries,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.2.0,NA,4.2.1
gert,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.6.0,NA,4.2.1
GGally,C:/Users/jk845/AppData/Local/R/win-library/4.2,2.1.2,NA,4.2.1
ggplot2,C:/Users/jk845/AppData/Local/R/win-library/4.2,3.3.6,NA,4.2.1
ggrepel,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.9.1,NA,4.2.1
ggthemes,C:/Users/jk845/AppData/Local/R/win-library/4.2,4.2.4,NA,4.2.1
gh,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.3.0,NA,4.2.1
gifski,C:/Users/jk845/AppData/Local/R/win-library/4.2,1.6.6-1,NA,4.2.1
gitcellar,C:/Users/jk845/AppData/Local/R/win-library/4.2,0.0.0.9000,NA,4.2.1
